""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"HK1"	925.385595357478	-1.1319420415219	0.0718812695052723	-15.7473852272305	7.1580389978646e-56	5.34479274602211e-54
"GLYATL2"	13.3808341260072	1.70834587629992	0.457843020072147	3.73129173407671	0.0001905004623692	0.000666012169627011
"NMNAT2"	11.2632719658752	-1.9258641346813	0.798103241974053	-2.41305138658227	0.0158195890405666	0.0356825947196127
"NRG2"	22.2069465041151	-3.61885828304497	0.717139714888686	-5.04623884009365	4.50592082282981e-07	2.42113441378823e-06
"ADAMTS4"	810.292677224593	-1.24170504717888	0.0889798144158645	-13.9549071363031	2.93684001734407e-44	1.47981823391418e-42
"MPZ"	19.0401335143082	-2.38163072116538	0.587158001747877	-4.05620073996376	4.98773966083809e-05	0.000195427722273893
"CACHD1"	36.371013943692	1.09529575888828	0.26698467556828	4.10246676726643	4.08768582343883e-05	0.000162414227740769
"CIART"	2.53026101664286	3.11812748889449	1.32303632622745	2.35679658001956	0.0184333414184067	0.040811627466686
"C1R"	212.75126444036	-1.29219426824915	0.126482332928057	-10.2164012817834	1.6744208996103e-24	3.55900878824249e-23
"ADGRG5"	18.1206451552441	-1.83631137684978	0.572626393922764	-3.20682280163541	0.00134209637036817	0.00390489618279339
"SPON2"	58.6496250851306	-2.65882845565472	0.345413362972183	-7.69752632838599	1.38725512689503e-14	1.65351325478088e-13
"C16orf86"	22.4714790117647	-1.04099702853216	0.379120110725726	-2.74582381435646	0.0060359168726078	0.0150777601059371
"SLC2A6"	13.1673157682727	-1.88565468655206	0.617589309591576	-3.05325020570561	0.00226377102910471	0.00628214987491393
"FBXO27"	119.666968963321	1.23876785541389	0.205564666470205	6.02617111532366	1.67889432960264e-09	1.20912274782127e-08
"NPHS1"	10.6743320497751	-1.58402904344167	0.572354111605266	-2.76756820877723	0.00564762260304238	0.0142087795622283
"CYGB"	24.0165632489386	-1.1271858975327	0.378543145313555	-2.97769464719544	0.00290425167588369	0.00784941472645966
"CXCL16"	23.9867490809223	1.37021521639522	0.397247475873815	3.44927356273615	0.000562096937824968	0.00178265382284234
"BCL6B"	232.710631165714	-1.38873225650234	0.135519122214827	-10.2475003808016	1.21443503818912e-24	2.61994361307536e-23
"FBLIM1"	105.906104963611	-2.65924997689851	0.195727390987213	-13.5864988721596	4.81571407787125e-42	2.26056207088608e-40
"AKNAD1"	24.1916977814328	1.00496456283761	0.351129772740801	2.8620887229049	0.00420859076361854	0.0109417285755921
"GBP2"	52.1576006720396	1.93009034468323	0.276880517565247	6.97084201393259	3.15049612867492e-12	3.00077988832348e-11
