""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ZG16B"	293.921434239308	1.0062725213528	0.116199152270228	8.65989554736731	4.72196744165086e-18	5.178711780946e-17
"ZSWIM5"	499.299484435106	1.00835394020653	0.0816009300942215	12.3571378297064	4.45746599826307e-35	1.14913313955222e-33
"AK4"	1215.24923892541	-6.42401565326797	0.206924802162269	-31.0451699658038	1.32564090901345e-211	2.72911587711326e-208
"FBLIM1"	105.906104963611	-1.24167699616714	0.159627793088983	-7.77857647555763	7.33451589114792e-15	6.44498222605687e-14
"ADGRL4"	129.639304888845	-2.18988277450447	0.20041684921845	-10.9266400656641	8.59730319790155e-28	1.64974349380771e-26
"LRRIQ3"	53.4843138173408	-1.00807215772691	0.23732093806828	-4.24771689313346	2.15960054127169e-05	7.64856313597108e-05
"GBP2"	52.1576006720396	2.77991764376487	0.268624741614279	10.3487029045023	4.24193689985088e-25	6.85320097127253e-24
"KCNT2"	74.2155524516605	-1.37557182252882	0.295580351808235	-4.65379993667933	3.25873001611713e-06	1.26376636873692e-05
"IL20"	5.3699588009164	2.01673587324206	0.850881701081068	2.37017187075446	0.0177798180452076	0.0367980694886524
"CTSS"	52.5231100875476	1.26347490422943	0.219025314895593	5.76862498671315	7.99209282018947e-09	4.15790792894406e-08
"S100A9"	18.2254394094134	-1.08142567187303	0.398892464756249	-2.71107069554161	0.00670663253881576	0.0152419620748894
"ALPG"	25.5443371794912	-1.33806230605959	0.450845012397429	-2.9678986553367	0.00299843174762803	0.00734745790087869
"DCST2"	52.7781229243085	1.48745133540128	0.25845760171833	5.75510770630117	8.65865711962363e-09	4.48848589032001e-08
"IGFN1"	7.40150037192138	3.48408282915513	0.766395102098522	4.5460661473633	5.46578649755968e-06	2.07119245901479e-05
"DPPA2"	14.6658009491251	-7.46715956390756	1.25018440232883	-5.97284652567877	2.33149216707358e-09	1.28143148816542e-08
"EIF5A2"	200.070164765229	-1.61520745139959	0.146187228398436	-11.0488957831345	2.219277312538e-28	4.36316580504573e-27
"PLB1"	10.0063074706546	1.38991216638079	0.598508449598367	2.32229330649132	0.0202171477232877	0.0412325666346305
